Название задачи;Клиент;ИНН/ID клиента;Ответственный;Дата начала;Срок (внутренний);Законный срок;Приоритет;Категория;Период;Плановое время, мин;Чек-лист;Основание;Метка
[REP-NDS] Декларация по НДС за III квартал 2026;ООО «ТехСервис Плюс»;CL-004;Соколов П.Р.;2026-10-14;2026-10-19;2026-10-26;Высокий;Отчётность;III квартал 2026;120;checklists/nds.md;НК РФ ст. 174;2026-10
[ACC-60] Сверка взаиморасчётов с ключевыми контрагентами;ООО «ТехСервис Плюс»;CL-004;Соколов П.Р.;2026-10-15;2026-10-20;;Средний;Учёт;III квартал 2026;90;;ФЗ-402 ст. 11;2026-10
[CLI-10] Отчёт клиенту за сентябрь 2026: налоги, статус документов, риски;ООО «ТехСервис Плюс»;CL-004;Соколов П.Р.;2026-10-15;2026-10-20;;Средний;Клиентский сервис;сентябрь 2026;30;checklists/client-report.md;Договор;2026-10
[REP-STAT] Проверка перечня форм статистики на сайте Росстата и сдача;ООО «ТехСервис Плюс»;CL-004;Соколов П.Р.;2026-10-15;2026-10-20;;Средний;Отчётность;III квартал 2026;45;;ФЗ-282;2026-10
[TAX-USN-N] Уведомление по авансовому платежу УСН за III квартал 2026;ООО «ТехСервис Плюс»;CL-004;Соколов П.Р.;2026-10-16;2026-10-21;2026-10-26;Высокий;Налоги;III квартал 2026;45;checklists/usn.md;НК РФ ст. 58 п. 9;2026-10
[CLI-30] Сверка объёма услуг, акт и счёт за сентябрь 2026;ООО «ТехСервис Плюс»;CL-004;Соколов П.Р.;2026-10-19;2026-10-22;;Средний;Клиентский сервис;сентябрь 2026;20;;Договор;2026-10
[DOC-50] Архивирование документов закрытого периода;ООО «ТехСервис Плюс»;CL-004;Соколов П.Р.;2026-10-20;2026-10-23;;Низкий;Первичка;сентябрь 2026;20;;ФЗ-402 ст. 29;2026-10
[TAX-NDS-P] Уплата 1/3 НДС за III квартал 2026;ООО «ТехСервис Плюс»;CL-004;Соколов П.Р.;2026-10-22;2026-10-27;2026-10-28;Высокий;Налоги;III квартал 2026;15;checklists/nds.md;НК РФ ст. 174 п. 1;2026-10
[TAX-USN-P] Уплата авансового платежа УСН за III квартал 2026;ООО «ТехСервис Плюс»;CL-004;Соколов П.Р.;2026-10-22;2026-10-27;2026-10-28;Высокий;Налоги;III квартал 2026;15;checklists/usn.md;НК РФ ст. 346.21;2026-10
[QC-20] Контроль квитанций и протоколов по отправленной отчётности;ООО «ТехСервис Плюс»;CL-004;Соколов П.Р.;2026-10-23;2026-10-28;;Высокий;Контроль;октябрь 2026;20;checklists/reporting.md;Регламент агентства;2026-10
